Date,Gold,Silver,Oil,SP500,MSCI_Europe,Euro_STOXX_50,DAX,USDPLN,EURUSD,USDGBP
2011-06-23,1520.0999755859375,35.005001068115234,91.0199966430664,1283.5,,2730.860107421875,7149.43994140625,2.780819892883301,1.4314342737197876,1.6059871912002563
2011-06-24,1500.5,34.64099884033203,91.16000366210938,1268.449951171875,,2715.8798828125,7121.3798828125,2.7957000732421875,1.427001714706421,1.602615475654602
2011-06-27,1496.0,33.58000183105469,90.61000061035156,1280.0999755859375,,2723.929931640625,7107.89990234375,2.808799982070923,1.4171332120895386,1.5962965488433838
2011-06-28,1499.699951171875,33.632999420166016,92.88999938964844,1296.6700439453125,,2750.489990234375,7170.43017578125,2.7892000675201416,1.4316802024841309,1.5990022420883179
2011-06-29,1509.9000244140625,34.75,94.7699966430664,1307.4100341796875,,2802.550048828125,7294.14013671875,2.7899999618530273,1.4357914924621582,1.5987977981567383
2011-06-30,1502.300048828125,34.8120002746582,95.41999816894531,1320.6400146484375,,2848.530029296875,7376.240234375,2.7527999877929688,1.4478904008865356,1.6075878143310547
2011-07-01,1482.300048828125,33.694000244140625,94.94000244140625,1339.6700439453125,,2875.669921875,7419.43994140625,2.7414000034332275,1.4496954679489136,1.6048015356063843
2011-07-04,1482.300048828125,33.694000244140625,94.94000244140625,1339.6700439453125,,2870.18994140625,7442.9599609375,2.7093000411987305,1.4539955854415894,1.6068129539489746
2011-07-05,1512.300048828125,35.402000427246094,96.88999938964844,1337.8800048828125,,2850.510009765625,7439.43994140625,2.7065999507904053,1.4553074836730957,1.6097097396850586
2011-07-06,1528.699951171875,35.9109992980957,96.6500015258789,1339.219970703125,,2832.6298828125,7431.18994140625,2.734600067138672,1.4428139925003052,1.606787085533142
2011-07-07,1530.199951171875,36.52799987792969,98.66999816894531,1353.219970703125,,2844.510009765625,7471.43994140625,2.7548000812530518,1.4331575632095337,1.6008964776992798
2011-07-08,1541.199951171875,36.5359992980957,96.19999694824219,1343.800048828125,,2790.090087890625,7402.72998046875,2.73580002784729,1.4364513158798218,1.5981078147888184
2011-07-11,1548.800048828125,35.68899917602539,95.1500015258789,1319.489990234375,,2709.139892578125,7230.25,2.776249885559082,1.4201923608779907,1.6025898456573486
2011-07-12,1561.9000244140625,35.62900161743164,97.43000030517578,1313.6400146484375,,2693.530029296875,7174.14013671875,2.8445000648498535,1.4040604829788208,1.5908114910125732
2011-07-13,1585.199951171875,38.14799880981445,98.05000305175781,1317.719970703125,,2715.050048828125,7267.8701171875,2.888400077819824,1.3969016075134277,1.5918244123458862
2011-07-14,1589.0,38.68899917602539,95.69000244140625,1308.8699951171875,,2631.97998046875,7214.740234375,2.82450008392334,1.4234267473220825,1.6168148517608643
2011-07-15,1589.800048828125,39.0629997253418,97.23999786376953,1316.1400146484375,,2675.3798828125,7220.1201171875,2.840399980545044,1.4157286882400513,1.6149089336395264
2011-07-18,1602.0999755859375,40.33300018310547,95.93000030517578,1305.43994140625,,2622.360107421875,7107.919921875,2.8429999351501465,1.4123096466064453,1.6111880540847778
2011-07-19,1600.9000244140625,40.21099853515625,97.5,1326.72998046875,,2631.97998046875,7192.669921875,2.8564000129699707,1.411193609237671,1.6058323383331299
2011-07-20,1596.699951171875,39.54600143432617,98.13999938964844,1325.8399658203125,,2705.75,7221.35986328125,2.827500104904175,1.417293906211853,1.6137100458145142
2011-07-21,1586.800048828125,38.9370002746582,99.12999725341797,1343.800048828125,,2631.97998046875,7290.14013671875,2.796999931335449,1.427001714706421,1.6159266233444214
2011-07-22,1601.300048828125,40.112998962402344,99.87000274658203,1345.02001953125,,2772.60009765625,7326.39013671875,2.760999917984009,1.4420026540756226,1.6323332786560059
