Date,Gold,Silver,Oil,SP500,Euro_STOXX_50,DAX,USDPLN,EURUSD,USDGBP
2017-12-05,1261.5999755859375,15.972999572753906,57.619998931884766,2629.570068359375,4237.461905614618,15485.676035149372,3.545959949493408,1.1867746114730835,1.347527265548706
2017-12-06,1262.800048828125,15.868000030517578,55.959999084472656,2629.27001953125,4214.377056191792,15381.433609102853,3.5583600997924805,1.1832919120788574,1.341525673866272
2017-12-07,1249.800048828125,15.71500015258789,56.68999862670898,2636.97998046875,4217.824365538545,15398.867372373119,3.568429946899414,1.1804285049438477,1.3392258882522583
2017-12-08,1245.199951171875,15.736000061035156,57.36000061035156,2651.5,4227.921098781982,15484.778387255035,3.5735599994659424,1.1772184371948242,1.348435878753662
2017-12-11,1243.699951171875,15.696999549865724,57.9900016784668,2659.989990234375,4216.249758120975,15446.494870070597,3.565700054168701,1.176996827125549,1.3392080068588257
2017-12-12,1238.5,15.58199977874756,57.13999938964844,2664.110107421875,4240.345344641246,15527.023679530248,3.565459966659546,1.1777591705322266,1.334935188293457
2017-12-13,1245.4000244140625,15.784000396728516,56.59999847412109,2662.85009765625,4205.906681507826,15412.917008844088,3.584199905395508,1.1742602586746216,1.331948161125183
2017-12-14,1253.800048828125,15.850000381469728,57.040000915527344,2652.010009765625,4209.092175209749,15467.196645593038,3.563800096511841,1.1835860013961792,1.340967893600464
2017-12-15,1254.300048828125,15.977999687194824,57.29999923706055,2675.81005859375,4192.508863315742,15429.385284631277,3.586060047149658,1.1774957180023191,1.3432915210723877
2017-12-18,1262.199951171875,16.1200008392334,57.15999984741211,2690.159912109375,4238.746464721393,15633.38845459628,3.587300062179565,1.1743566989898682,1.3317352533340454
2017-12-19,1260.699951171875,16.06599998474121,57.459999084472656,2681.469970703125,4221.378686779761,15573.821500666905,3.569299936294556,1.1784253120422363,1.3380789756774902
2017-12-20,1266.0999755859375,16.187999725341797,58.09000015258789,2679.25,4206.808480448555,15475.62984562479,3.549599885940552,1.1841325759887695,1.3386881351470947
2017-12-21,1267.300048828125,16.152000427246094,58.36000061035156,2684.570068359375,4241.435695740947,15571.981397834374,3.539999961853028,1.1878176927566528,1.3372023105621338
2017-12-22,1275.4000244140625,16.35700035095215,58.470001220703125,2683.340087890625,4213.372365045799,15500.841154436002,3.5389599800109863,1.185733199119568,1.338043212890625
2017-12-25,1275.4000244140625,16.35700035095215,58.470001220703125,2683.340087890625,4212.922928539047,15499.187694144202,3.531349897384644,1.1856067180633545,1.3365052938461304
2017-12-26,1284.0999755859375,16.520000457763672,59.970001220703125,2680.5,4218.775345859758,15520.718521091854,3.531749963760376,1.187253713607788,1.3376137018203735
2017-12-27,1287.0,16.618999481201172,59.63999938964844,2682.6201171875,4209.754095529439,15498.291479318868,3.5393099784851074,1.1857894659042358,1.337470531463623
2017-12-28,1294.0999755859375,16.832000732421875,59.84000015258789,2687.5400390625,4194.208978301031,15447.160375477979,3.519740104675293,1.1900794506072998,1.3403927087783811
2017-12-29,1306.300048828125,17.059999465942383,60.41999816894531,2673.610107421875,4184.332214228343,15425.888513374608,3.499000072479248,1.1941723823547363,1.344085931777954
2018-01-01,1306.300048828125,17.059999465942383,60.41999816894531,2673.610107421875,4206.485176499118,15507.55725016084,3.4835000038146973,1.200494647026062,1.351607084274292
2018-01-02,1313.699951171875,17.121000289916992,60.369998931884766,2695.81005859375,4208.809284768649,15460.571714331047,3.474400043487549,1.2011579275131226,1.3511322736740112
2018-01-03,1316.199951171875,17.184999465942383,61.630001068115234,2713.06005859375,4234.127587918541,15656.20439220604,3.450200080871582,1.2063454389572144,1.359619379043579
2018-01-04,1319.4000244140625,17.18899917602539,62.0099983215332,2723.989990234375,4286.376534143346,15815.19553658145,3.453900098800659,1.2010425329208374,1.3511322736740112
